@relation datosFict1

@attribute fecha date "dd/MM/yyyy"
@attribute c2 numeric
@attribute c3 numeric
@attribute c4{0,1,2,3,4,5}
@attribute c5{1,2}

@data
08/07/1942, 133.55, 50.56, 2, 1
06/10/1933, 130.56, 13.23, 5, 2
28/06/1950, 167.12, 21.97, 3, 2
06/02/1939, 70.62, 20.42, 5, 2
11/09/1948, 131.41, 34.19, 3, 2
21/12/1963, 121.07, 25.14, 4, 2
20/09/1992, 129.03, 16.46, 5, 1
07/12/1963, 166.01, 13.83, 3, 2
25/05/1954, 161.77, 34.40, 2, 2
16/01/1984, 95.30, 25.77, 2, 2
05/04/1959, 119.54, 23.91, 2, 2
18/12/1945, 138.10, 54.00, 3, 2
10/01/1958, 148.10, 52.95, 1, 2
29/01/1966, 151.30, 50.74, 2, 2
20/03/1937, 159.64, 35.84, 3, 2
29/04/1981, 143.18, 50.29, 0, 2
02/02/1984, 165.46, 15.72, 2, 2
18/01/1931, 64.55, 45.07, 5, 1
21/04/1941, 81.83, 24.18, 2, 2
28/10/1992, 185.51, 21.01, 2, 2
09/01/1961, 111.45, 51.83, 1, 2
26/10/1976, 208.46, 38.75, 4, 1
16/12/1953, 172.36, 15.63, 0, 2
23/01/1932, 118.92, 14.94, 0, 2
20/08/1973, 153.75, 42.99, 4, 1
01/02/1988, 145.48, 48.41, 3, 1
24/08/1951, 159.45, 22.89, 4, 2
23/08/1956, 93.88, 15.20, 1, 2
07/12/1965, 169.99, 3.82, 4, 2
15/11/1969, 130.85, 12.34, 3, 2
16/05/1948, 104.11, 36.14, 4, 1
19/10/1990, 65.82, 3.25, 4, 2
02/12/1953, 114.49, 10.67, 4, 2
16/05/1979, 155.13, 35.11, 0, 2
14/09/1954, 145.37, 2.25, 2, 2
12/09/1934, 88.71, 37.38, 1, 2
04/10/1990, 170.58, 58.76, 3, 1
17/07/1954, 159.61, 28.53, 1, 2
29/06/1947, 117.72, 45.61, 0, 2
26/10/1935, 116.92, 48.44, 1, 1
02/12/1982, 123.44, 41.49, 4, 2
27/03/1941, 160.58, 55.21, 3, 2
03/01/1957, 157.64, 57.64, 4, 2
25/01/1953, 122.75, 56.82, 3, 2
08/06/1935, 169.19, 22.50, 5, 2
12/11/1931, 91.48, 28.49, 0, 2
15/01/1931, 123.18, 13.78, 0, 2
08/05/1951, 141.10, 16.44, 2, 2
08/04/1936, 125.47, 38.19, 4, 2
24/10/1943, 165.09, 27.10, 3, 2
30/01/1933, 119.24, 18.51, 2, 2
25/04/1977, 91.28, 21.27, 3, 1
04/06/1941, 183.57, 29.57, 2, 2
16/08/1992, 130.41, 17.66, 3, 1
15/08/1962, 158.63, 47.46, 1, 2
13/01/1933, 153.69, 3.35, 4, 2
21/04/1947, 133.03, 6.71, 3, 2
28/02/1943, 130.37, 40.94, 2, 2
30/06/1935, 159.70, 42.67, 3, 2
13/10/1987, 84.59, 8.48, 1, 2
25/03/1951, 118.41, 27.50, 4, 2
01/09/1952, 140.59, 50.50, 5, 2
09/09/1994, 156.69, 5.38, 0, 2
20/11/1955, 190.70, 20.21, 2, 2
12/03/1969, 124.47, 54.60, 2, 2
16/04/1969, 107.02, 52.33, 3, 2
01/05/1989, 181.87, 29.85, 4, 1
05/07/1974, 197.48, 41.80, 5, 1
08/03/1938, 184.86, 46.04, 2, 2
23/06/1932, 111.45, 20.32, 0, 2
14/12/1943, 147.94, 38.01, 0, 2
07/05/1948, 144.56, 0.90, 2, 2
07/03/1965, 141.75, 29.32, 2, 2
02/09/1950, 134.93, 8.37, 2, 2
28/05/1987, 116.19, 56.71, 3, 1
19/01/1965, 120.63, 44.40, 2, 2
18/01/1940, 114.19, 24.69, 3, 2
24/09/1994, 159.82, 45.32, 0, 2
11/12/1976, 188.12, 55.72, 1, 2
14/11/1969, 63.32, 24.00, 1, 1
15/03/1970, 102.83, 54.36, 3, 2
31/10/1972, 199.30, 15.36, 2, 1
31/07/1975, 115.77, 26.10, 2, 2
08/08/1957, 207.82, 35.27, 3, 2
27/03/1959, 76.37, 33.29, 4, 2
27/03/1933, 103.26, 35.51, 1, 1
13/01/1941, 114.32, 21.86, 4, 2
22/07/1952, 157.72, 9.36, 3, 2
03/04/1941, 163.23, 28.70, 3, 2
08/03/1977, 122.79, 35.15, 5, 1
24/11/1939, 144.37, 0.52, 3, 2
18/10/1959, 92.13, 8.85, 5, 2
03/07/1980, 102.13, 14.46, 5, 1
02/03/1943, 106.76, 48.50, 1, 2
24/09/1949, 215.88, 56.34, 4, 2
05/06/1955, 98.65, 29.08, 0, 2
28/01/1967, 148.32, 43.00, 3, 2
22/12/1976, 122.57, 52.95, 2, 2
27/06/1978, 92.11, 9.65, 3, 1
20/05/1991, 191.45, 38.40, 4, 1
20/05/1981, 146.91, 36.14, 2, 1
09/12/1973, 128.04, 1.55, 2, 2
16/04/1971, 143.38, 21.36, 3, 2
14/11/1934, 126.42, 7.85, 4, 1
05/02/1976, 139.77, 0.39, 0, 2
08/03/1983, 162.31, 6.35, 4, 1
19/12/1980, 140.32, 58.94, 0, 2
23/05/1957, 168.04, 42.46, 0, 2
30/10/1958, 115.64, 5.36, 3, 2
11/07/1932, 87.08, 4.91, 5, 2
30/08/1949, 148.07, 47.16, 0, 2
03/01/1972, 181.32, 58.12, 1, 1
19/11/1941, 101.82, 19.86, 4, 2
18/02/1946, 94.48, 36.64, 4, 1
30/12/1960, 160.72, 31.68, 0, 2
19/12/1939, 87.19, 32.55, 2, 2
13/02/1982, 153.24, 49.65, 4, 1
28/03/1985, 131.79, 10.19, 1, 2
08/03/1940, 180.80, 7.39, 3, 2
24/06/1988, 110.31, 50.26, 4, 1
08/03/1962, 104.39, 55.56, 1, 1
04/07/1981, 110.61, 11.56, 3, 1
26/07/1936, 116.46, 15.74, 3, 2
27/03/1930, 106.55, 10.83, 1, 2
27/04/1932, 177.43, 31.33, 4, 2
31/10/1930, 112.12, 44.46, 2, 2
07/11/1982, 179.16, 37.89, 2, 2
15/08/1967, 185.68, 7.08, 1, 2
16/09/1965, 190.36, 31.59, 2, 1
28/02/1950, 145.17, 40.48, 2, 2
31/12/1936, 142.34, 6.07, 3, 2
01/06/1978, 187.40, 7.74, 1, 2
05/07/1939, 139.72, 7.06, 2, 2
07/07/1982, 59.09, 17.10, 3, 1
20/12/1958, 178.05, 10.04, 1, 2
24/01/1931, 150.84, 4.20, 3, 2
23/10/1943, 127.43, 46.78, 2, 2
23/07/1984, 124.47, 44.58, 3, 2
04/07/1976, 156.15, 19.53, 2, 2
07/01/1968, 153.26, 0.37, 4, 2
12/05/1952, 109.30, 40.03, 1, 2
24/07/1971, 107.11, 51.41, 3, 2
03/02/1961, 88.48, 37.27, 4, 2
12/04/1979, 111.28, 13.14, 1, 2
22/05/1937, 116.36, 52.34, 2, 2
20/07/1951, 113.19, 42.52, 1, 2
14/04/1969, 134.65, 21.89, 1, 2
26/06/1938, 51.49, 8.46, 5, 2
02/11/1991, 141.84, 7.14, 0, 2
02/09/1978, 150.17, 41.24, 2, 2
04/11/1990, 158.86, 1.00, 2, 2
22/08/1976, 167.46, 11.26, 5, 1
02/03/1988, 153.90, 18.41, 4, 2
13/01/1934, 91.64, 12.60, 2, 2
26/01/1942, 87.92, 10.25, 4, 2
08/09/1943, 155.33, 10.57, 5, 2
24/10/1932, 168.92, 28.04, 1, 2
24/01/1977, 94.32, 53.38, 2, 1
30/11/1990, 100.78, 23.62, 5, 1
26/08/1945, 205.29, 16.37, 2, 2
14/07/1970, 83.36, 29.25, 0, 2
22/12/1994, 66.98, 54.22, 1, 2
18/11/1948, 163.16, 54.97, 3, 2
06/05/1948, 129.87, 13.97, 4, 2
08/12/1933, 109.13, 8.99, 4, 1
20/08/1942, 115.19, 40.19, 4, 2
