@relation datosFict2

@attribute fecha date "dd/MM/yyyy"
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
30/09/2006, 159.18, 15.02, 2, 2
24/05/1956, 112.75, 46.76, 1, 2
01/12/1981, 136.98, 9.08, 4, 2
12/03/1991, 139.35, 48.48, 3, 1
09/03/1989, 150.69, 22.88, 0, 2
05/11/1977, 146.19, 19.53, 2, 2
17/01/1998, 122.90, 14.39, 1, 2
31/10/2004, 173.98, 55.95, 1, 2
16/04/1973, 112.69, 33.68, 0, 2
02/01/2004, 191.90, 16.14, 2, 1
03/07/1998, 70.14, 39.21, 3, 1
29/03/1981, 158.23, 6.66, 4, 2
18/05/1968, 123.45, 30.58, 3, 2
08/04/1946, 99.52, 54.04, 4, 2
25/11/1962, 145.41, 30.60, 3, 2
22/12/1997, 145.35, 36.34, 2, 2
15/03/2008, 119.92, 10.45, 4, 1
18/01/1959, 135.31, 57.44, 0, 1
09/04/1967, 63.80, 33.22, 0, 2
31/05/1991, 107.86, 36.62, 2, 2
29/03/2006, 149.97, 56.31, 2, 2
12/02/2001, 176.62, 12.99, 3, 1
18/09/2004, 127.53, 3.31, 4, 1
05/03/1965, 158.13, 17.28, 5, 2
02/11/1955, 118.31, 7.50, 5, 2
07/05/1948, 145.65, 17.93, 2, 2
08/09/1991, 148.44, 19.86, 4, 1
06/08/1957, 134.44, 24.08, 2, 2
28/05/2009, 110.52, 45.68, 2, 2
01/12/1975, 128.99, 12.97, 3, 2
17/05/1995, 133.43, 37.19, 5, 2
14/08/1991, 149.76, 1.38, 1, 2
04/10/1988, 82.19, 7.82, 4, 1
30/08/1996, 97.74, 31.22, 3, 1
04/10/1966, 142.51, 3.62, 1, 2
16/09/1952, 153.54, 42.87, 2, 2
21/06/1950, 176.25, 19.03, 4, 2
12/09/1999, 191.92, 4.31, 2, 2
20/12/1961, 82.32, 31.95, 1, 2
05/04/1991, 93.75, 3.63, 2, 1
11/05/2006, 135.23, 34.57, 1, 2
07/07/1955, 123.98, 38.74, 2, 2
31/10/1959, 147.30, 22.73, 4, 2
28/08/1990, 129.96, 38.07, 1, 2
01/04/1981, 208.77, 10.05, 3, 2
01/08/1971, 104.45, 15.63, 3, 2
13/09/1980, 149.59, 12.59, 3, 2
17/10/1965, 122.32, 45.98, 1, 2
31/08/1979, 150.25, 51.40, 1, 2
17/11/1962, 116.85, 21.75, 3, 2
31/08/1949, 52.63, 34.04, 5, 2
24/10/1988, 162.08, 15.05, 1, 2
04/11/1972, 124.93, 13.87, 4, 2
01/11/1964, 139.95, 42.16, 5, 2
20/11/1967, 184.21, 42.06, 5, 2
10/05/1963, 130.02, 1.30, 1, 2
14/02/1958, 137.83, 27.65, 2, 2
15/08/1988, 52.07, 0.06, 1, 2
23/11/1976, 152.72, 58.70, 0, 2
25/12/1972, 144.99, 20.75, 2, 2
