@relation datosFict2

@attribute age integer
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
21, 159.18, 15.02, 2, 2
71, 112.75, 46.76, 1, 2
46, 136.98, 9.08, 4, 2
36, 139.35, 48.48, 3, 1
38, 150.69, 22.88, 0, 2
50, 146.19, 19.53, 2, 2
29, 122.90, 14.39, 1, 2
23, 173.98, 55.95, 1, 2
54, 112.69, 33.68, 0, 2
23, 191.90, 16.14, 2, 1
29, 70.14, 39.21, 3, 1
46, 158.23, 6.66, 4, 2
59, 123.45, 30.58, 3, 2
81, 99.52, 54.04, 4, 2
65, 145.41, 30.60, 3, 2
30, 145.35, 36.34, 2, 2
19, 119.92, 10.45, 4, 1
68, 135.31, 57.44, 0, 1
60, 63.80, 33.22, 0, 2
36, 107.86, 36.62, 2, 2
21, 149.97, 56.31, 2, 2
26, 176.62, 12.99, 3, 1
23, 127.53, 3.31, 4, 1
62, 158.13, 17.28, 5, 2
72, 118.31, 7.50, 5, 2
79, 145.65, 17.93, 2, 2
36, 148.44, 19.86, 4, 1
70, 134.44, 24.08, 2, 2
18, 110.52, 45.68, 2, 2
52, 128.99, 12.97, 3, 2
32, 133.43, 37.19, 5, 2
36, 149.76, 1.38, 1, 2
39, 82.19, 7.82, 4, 1
31, 97.74, 31.22, 3, 1
61, 142.51, 3.62, 1, 2
75, 153.54, 42.87, 2, 2
77, 176.25, 19.03, 4, 2
28, 191.92, 4.31, 2, 2
66, 82.32, 31.95, 1, 2
36, 93.75, 3.63, 2, 1
21, 135.23, 34.57, 1, 2
72, 123.98, 38.74, 2, 2
68, 147.30, 22.73, 4, 2
37, 129.96, 38.07, 1, 2
46, 208.77, 10.05, 3, 2
56, 104.45, 15.63, 3, 2
47, 149.59, 12.59, 3, 2
62, 122.32, 45.98, 1, 2
48, 150.25, 51.40, 1, 2
65, 116.85, 21.75, 3, 2
78, 52.63, 34.04, 5, 2
39, 162.08, 15.05, 1, 2
55, 124.93, 13.87, 4, 2
63, 139.95, 42.16, 5, 2
60, 184.21, 42.06, 5, 2
64, 130.02, 1.30, 1, 2
69, 137.83, 27.65, 2, 2
39, 52.07, 0.06, 1, 2
51, 152.72, 58.70, 0, 2
55, 144.99, 20.75, 2, 2
32, 159.59, 16.44, 4, 1
23, 187.27, 6.99, 4, 1
55, 180.49, 3.58, 3, 2
79, 156.46, 48.95, 4, 2
55, 97.33, 19.63, 3, 2
56, 210.26, 26.23, 1, 2
72, 134.34, 54.69, 3, 2
78, 95.62, 4.43, 2, 2
71, 83.43, 2.40, 2, 2
49, 116.95, 15.44, 2, 2
30, 127.56, 21.52, 2, 2
23, 148.03, 45.60, 5, 1
76, 160.37, 12.28, 2, 2
44, 130.91, 25.66, 3, 1
34, 227.84, 38.11, 2, 1
36, 86.30, 15.45, 5, 2
80, 129.65, 21.53, 3, 2
45, 146.93, 23.58, 2, 2
32, 139.73, 47.08, 1, 2
36, 210.25, 7.12, 4, 1
70, 107.92, 22.66, 2, 2
68, 133.85, 24.37, 4, 2
74, 139.90, 56.60, 1, 2
21, 84.02, 12.03, 4, 1
58, 134.06, 52.89, 2, 2
79, 111.01, 1.15, 2, 2
38, 170.78, 32.41, 2, 2
39, 174.85, 37.98, 2, 2
43, 141.86, 8.41, 1, 2
79, 196.69, 30.08, 2, 2
18, 83.29, 55.44, 1, 2
51, 172.52, 40.49, 5, 2
38, 145.58, 42.65, 1, 2
29, 87.15, 33.76, 3, 1
26, 92.34, 39.60, 1, 2
25, 203.50, 48.63, 0, 2
29, 111.78, 54.68, 4, 1
28, 145.17, 10.59, 3, 1
30, 156.12, 49.34, 3, 1
48, 125.47, 42.17, 1, 2
69, 134.80, 57.34, 1, 2
24, 119.34, 28.73, 3, 2
74, 164.80, 27.22, 0, 2
80, 110.54, 14.50, 2, 2
61, 175.01, 10.62, 5, 1
78, 136.12, 19.46, 1, 1
50, 135.18, 34.86, 4, 2
27, 116.17, 46.06, 2, 2
21, 135.86, 1.45, 4, 1
20, 108.03, 2.22, 1, 2
21, 139.26, 43.38, 3, 1
59, 142.83, 6.20, 3, 2
22, 142.78, 3.47, 4, 1
57, 98.05, 18.47, 2, 2
55, 117.75, 22.23, 5, 2
76, 76.09, 0.76, 0, 2
63, 88.70, 53.69, 2, 2
18, 129.23, 3.48, 4, 1
64, 136.96, 40.34, 5, 2
57, 184.63, 11.67, 3, 2
25, 89.75, 41.17, 4, 1
36, 102.82, 24.76, 5, 1
42, 187.11, 10.93, 1, 1
60, 146.88, 52.40, 5, 2
